Row,Column,Value
Genus:sp12,Genus:sp25,0.04203
Genus:sp12,Genus:sp26,0.05334
Genus:sp12,Genus:sp27,0.04325
Genus:sp12,Genus:sp28,0.04595
Genus:sp12,Genus:sp29,0.04533
Genus:sp12,Genus:sp3,0.05273
Genus:sp12,Genus:sp30,0.04301
Genus:sp12,Genus:sp31,0.04348
Genus:sp12,Genus:sp32,0.05509
Genus:sp12,Genus:sp33,0.04219
Genus:sp12,Genus:sp34,0.04401
Genus:sp12,Genus:sp35,0.04013
Genus:sp12,Genus:sp36,0.05591
Genus:sp12,Genus:sp37,0.0487
Genus:sp12,Genus:sp38,0.03778
Genus:sp12,Genus:sp39,0.05405
Genus:sp12,Genus:sp4,0.04521
Genus:sp12,Genus:sp40,0.03843
Genus:sp12,Genus:sp41,0.04197
Genus:sp12,Genus:sp42,0.05377
Genus:sp12,Genus:sp43,0.01206
Genus:sp12,Genus:sp44,0.05243
Genus:sp12,Genus:sp45,0.04818
Genus:sp12,Genus:sp46,0.05161
Genus:sp12,Genus:sp47,0.04572
Genus:sp12,Genus:sp48,0.01698
Genus:sp12,Genus:sp49,0.04065
Genus:sp12,Genus:sp5,0.05679
Genus:sp12,Genus:sp50,0.04509
Genus:sp12,Genus:sp51,0.05055
Genus:sp12,Genus:sp52,0.05912
Genus:sp12,Genus:sp53,0.04882
Genus:sp12,Genus:sp54,0.01674
Genus:sp12,Genus:sp55,0.04553
Genus:sp12,Genus:sp56,0.04131
Genus:sp12,Genus:sp57,0.05008
Genus:sp12,Genus:sp58,0.04034
Genus:sp12,Genus:sp59,0.04191
Genus:sp12,Genus:sp6,0.02194
Genus:sp12,Genus:sp60,0.04
Genus:sp12,Genus:sp61,0.03874
Genus:sp12,Genus:sp62,0.05182
Genus:sp12,Genus:sp63,0.03925
Genus:sp12,Genus:sp64,0.04374
Genus:sp12,Genus:sp65,0.03965
Genus:sp12,Genus:sp66,0.03845
Genus:sp12,Genus:sp67,0.04631
Genus:sp12,Genus:sp68,0.03626
Genus:sp12,Genus:sp69,0.01482
Genus:sp12,Genus:sp7,0.01795
Genus:sp12,Genus:sp8,0.05524
Genus:sp12,Genus:sp9,0.04985
Genus:sp13,Genus:sp10,0.0429
Genus:sp13,Genus:sp11,0.02089
Genus:sp13,Genus:sp12,0.03963
Genus:sp13,Genus:sp13,0.04302
Genus:sp13,Genus:sp14,0.03437
Genus:sp13,Genus:sp15,0.05065
Genus:sp13,Genus:sp16,0.04778
Genus:sp13,Genus:sp17,0.04902
Genus:sp13,Genus:sp18,0.05816
Genus:sp13,Genus:sp19,0.05136
Genus:sp13,Genus:sp2,0.04603
Genus:sp13,Genus:sp20,0.019
Genus:sp13,Genus:sp21,0.05328
Genus:sp13,Genus:sp22,0.05395
Genus:sp13,Genus:sp23,0.04316
Genus:sp13,Genus:sp24,0.02126
Genus:sp13,Genus:sp25,0.04494
Genus:sp13,Genus:sp26,0.05976
Genus:sp13,Genus:sp27,0.05121
Genus:sp13,Genus:sp28,0.01429
Genus:sp13,Genus:sp29,0.01652
Genus:sp13,Genus:sp3,0.0414
Genus:sp13,Genus:sp30,0.01733
Genus:sp13,Genus:sp31,0.01797
Genus:sp13,Genus:sp32,0.05847
Genus:sp13,Genus:sp33,0.04724
Genus:sp13,Genus:sp34,0.02459
Genus:sp13,Genus:sp35,0.04257
Genus:sp13,Genus:sp36,0.05664
Genus:sp13,Genus:sp37,0.05273
Genus:sp13,Genus:sp38,0.04255
Genus:sp13,Genus:sp39,0.05373
Genus:sp13,Genus:sp4,0.04121
Genus:sp13,Genus:sp40,0.04302
Genus:sp13,Genus:sp41,0.01981
Genus:sp13,Genus:sp42,0.05157
Genus:sp13,Genus:sp43,0.04936
Genus:sp13,Genus:sp44,0.0569
Genus:sp13,Genus:sp45,0.05033
Genus:sp13,Genus:sp46,0.05165
Genus:sp13,Genus:sp47,0.02293
Genus:sp13,Genus:sp48,0.0523
Genus:sp13,Genus:sp49,0.01819
Genus:sp13,Genus:sp5,0.05969
Genus:sp13,Genus:sp50,0.02535
Genus:sp13,Genus:sp51,0.05205
Genus:sp13,Genus:sp52,0.05712
Genus:sp13,Genus:sp53,0.05298
Genus:sp13,Genus:sp54,0.05131
Genus:sp13,Genus:sp55,0.0518
Genus:sp13,Genus:sp56,0.03432
Genus:sp13,Genus:sp57,0.05601
Genus:sp13,Genus:sp58,0.01874
Genus:sp13,Genus:sp59,0.04317
Genus:sp13,Genus:sp6,0.04329
Genus:sp13,Genus:sp60,0.04631
Genus:sp13,Genus:sp61,0.04692
Genus:sp13,Genus:sp62,0.05307
Genus:sp13,Genus:sp63,0.04233
Genus:sp13,Genus:sp64,0.02172
Genus:sp13,Genus:sp65,0.0432
Genus:sp13,Genus:sp66,0.04216
Genus:sp13,Genus:sp67,0.05002
Genus:sp13,Genus:sp68,0.04124
Genus:sp13,Genus:sp69,0.04778
Genus:sp13,Genus:sp7,0.04111
Genus:sp13,Genus:sp8,0.05565
Genus:sp13,Genus:sp9,0.04742
Genus:sp14,Genus:sp10,0.06331
Genus:sp14,Genus:sp11,0.05679
Genus:sp14,Genus:sp12,0.05959
Genus:sp14,Genus:sp13,0.03437
Genus:sp14,Genus:sp14,0.06004
Genus:sp14,Genus:sp15,0.03882
Genus:sp14,Genus:sp16,0.04393
Genus:sp14,Genus:sp17,0.05331
Genus:sp14,Genus:sp18,0.05845
Genus:sp14,Genus:sp19,0.04344
Genus:sp14,Genus:sp2,0.05958
Genus:sp14,Genus:sp20,0.04055
Genus:sp14,Genus:sp21,0.04252
Genus:sp14,Genus:sp22,0.04518
Genus:sp14,Genus:sp23,0.02423
Genus:sp14,Genus:sp24,0.04308
Genus:sp14,Genus:sp25,0.02486
Genus:sp14,Genus:sp26,0.05709
Genus:sp14,Genus:sp27,0.01875
