Element,Axis_0,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TREENAME
194,194,0,2750000:950000,194,191,anonymous_0
195,195,0.333333333333333,2350000:1050000,195,190,anonymous_0
196,196,0.302678571428572,81___,196,168,anonymous_0
197,197,0.333333333333333,36___,197,196,anonymous_0
198,198,0,2150000:1050000,198,197,anonymous_0
199,199,0,2350000:1150000,199,197,anonymous_0
2,2,0,125___,2,1,anonymous_0
20,20,0,3550000:1550000,20,17,anonymous_0
200,200,0.333333333333333,2250000:1250000,200,196,anonymous_0
201,201,0.463759398496241,78___,201,167,anonymous_0
202,202,0.333333333333333,39___,202,201,anonymous_0
203,203,0,1950000:1450000,203,202,anonymous_0
204,204,0,1950000:1350000,204,202,anonymous_0
205,205,0,2050000:1350000,205,202,anonymous_0
206,206,0.333333333333333,7___,206,201,anonymous_0
207,207,0,2050000:1250000,207,206,anonymous_0
208,208,0,2150000:1250000,208,206,anonymous_0
209,209,0.122604344448767,120___,209,74,anonymous_0
21,21,0,3350000:1050000,21,17,anonymous_0
210,210,0.235392616642617,106___,210,209,anonymous_0
211,211,0.034840325018896,104___,211,210,anonymous_0
212,212,0.05265306122449,99___,212,211,anonymous_0
213,213,0.105,87___,213,212,anonymous_0
214,214,0.041666666666667,82___,214,213,anonymous_0
215,215,0.333333333333333,13___,215,214,anonymous_0
216,216,0,3750000:1850000,216,215,anonymous_0
217,217,0,3850000:1350000,217,215,anonymous_0
218,218,0,3950000:1750000,218,215,anonymous_0
219,219,0.333333333333333,3650000:1250000,219,214,anonymous_0
22,22,0,3350000:1250000,22,17,anonymous_0
220,220,0.375,3750000:1250000,220,213,anonymous_0
221,221,0.146666666666667,80___,221,212,anonymous_0
222,222,0.333333333333333,3850000:1850000,222,221,anonymous_0
223,223,0.333333333333333,3850000:1950000,223,221,anonymous_0
224,224,0.53265306122449,3750000:1650000,224,211,anonymous_0
225,225,0.275826719576719,70___,225,210,anonymous_0
226,226,0.180555555555556,44___,226,225,anonymous_0
227,227,0.111111111111111,3850000:1450000,227,226,anonymous_0
228,228,0.111111111111111,3850000:1750000,228,226,anonymous_0
229,229,0.291666666666667,3850000:1550000,229,225,anonymous_0
23,23,0,3450000:1550000,23,17,anonymous_0
230,230,0.46955266955267,83___,230,209,anonymous_0
231,231,0.333333333333333,2___,231,230,anonymous_0
232,232,0,3250000:3050000,232,231,anonymous_0
233,233,0,3650000:2350000,233,231,anonymous_0
234,234,0.333333333333333,3750000:2150000,234,230,anonymous_0
24,24,0,3350000:1350000,24,17,anonymous_0
25,25,0,3450000:1450000,25,17,anonymous_0
26,26,0.333333333333333,3550000:1450000,26,16,anonymous_0
27,27,0.351851851851852,4___,27,15,anonymous_0
28,28,0,3450000:1250000,28,27,anonymous_0
29,29,0,3550000:1250000,29,27,anonymous_0
3,3,0.0349067652113,124___,3,2,anonymous_0
30,30,0.253030303030303,60___,30,14,anonymous_0
31,31,0.2,3650000:1650000,31,30,anonymous_0
32,32,0.2,3650000:1750000,32,30,anonymous_0
33,33,0.543589743589744,3550000:1950000,33,13,anonymous_0
34,34,0.139062736205593,95___,34,12,anonymous_0
35,35,0.22989417989418,61___,35,34,anonymous_0
36,36,0.2,31___,36,35,anonymous_0
37,37,0,3650000:1450000,37,36,anonymous_0
38,38,0,3650000:1550000,38,36,anonymous_0
39,39,0.2,3450000:1050000,39,35,anonymous_0
4,4,0.139519699240052,118___,4,3,anonymous_0
40,40,0.22989417989418,58___,40,34,anonymous_0
41,41,0.2,3650000:1350000,41,40,anonymous_0
42,42,0.2,3750000:1450000,42,40,anonymous_0
43,43,0.177665189923137,116___,43,3,anonymous_0
44,44,0.056669186192996,113___,44,43,anonymous_0
45,45,0.24389770723104,96___,45,44,anonymous_0
46,46,0.116666666666667,74___,46,45,anonymous_0
47,47,0.333333333333333,23___,47,46,anonymous_0
48,48,0,3350000:2050000,48,47,anonymous_0
49,49,0,3450000:2150000,49,47,anonymous_0
5,5,0.168342013736751,109___,5,4,anonymous_0
50,50,0,3250000:2850000,50,47,anonymous_0
51,51,0,3550000:2150000,51,47,anonymous_0
52,52,0.333333333333333,3750000:1750000,52,46,anonymous_0
53,53,0.183333333333333,67___,53,45,anonymous_0
54,54,0.123809523809524,50___,54,53,anonymous_0
55,55,0.142857142857143,3550000:2050000,55,54,anonymous_0
56,56,0.142857142857143,3550000:2250000,56,54,anonymous_0
57,57,0.266666666666667,35___,57,53,anonymous_0
58,58,0,3350000:2150000,58,57,anonymous_0
59,59,0,3450000:2050000,59,57,anonymous_0
6,6,0.203703703703703,93___,6,5,anonymous_0
60,60,0.289135802469135,91___,60,44,anonymous_0
61,61,0.026984126984127,88___,61,60,anonymous_0
62,62,0.222222222222222,52___,62,61,anonymous_0
63,63,0.044444444444445,43___,63,62,anonymous_0
64,64,0.111111111111111,3650000:1950000,64,63,anonymous_0
65,65,0.111111111111111,3650000:2050000,65,63,anonymous_0
66,66,0.155555555555556,3750000:2050000,66,62,anonymous_0
67,67,0.377777777777778,3750000:1950000,67,61,anonymous_0
68,68,0.404761904761905,3650000:1850000,68,60,anonymous_0
69,69,0.417233560090703,73___,69,43,anonymous_0
7,7,0.083333333333334,75___,7,6,anonymous_0
70,70,0.333333333333333,11___,70,69,anonymous_0
71,71,0,3150000:2950000,71,70,anonymous_0
72,72,0,3250000:2150000,72,70,anonymous_0
73,73,0.333333333333333,3250000:2950000,73,69,anonymous_0
74,74,0.037648501223703,123___,74,2,anonymous_0
75,75,0.033730189503183,122___,75,74,anonymous_0
76,76,0.028471207333334,121___,76,75,anonymous_0
77,77,0.11152147677956,117___,77,76,anonymous_0
78,78,0.041036540814585,115___,78,77,anonymous_0
79,79,0.0511392899791321,112___,79,78,anonymous_0
8,8,0.333333333333333,3250000:950000,8,7,anonymous_0
80,80,0.026499734833068,110___,80,79,anonymous_0
81,81,0.11516095016095,103___,81,80,anonymous_0
82,82,0.088638028638029,94___,82,81,anonymous_0
83,83,0.179292929292929,65___,83,82,anonymous_0
84,84,0.25,3550000:950000,84,83,anonymous_0
