ELEMENT,El_0,El_1,Genus:sp1,Genus:sp10,Genus:sp11,Genus:sp12,Genus:sp13,Genus:sp14,Genus:sp15,Genus:sp16,Genus:sp17,Genus:sp18,Genus:sp19,Genus:sp2,Genus:sp20,Genus:sp21,Genus:sp22,Genus:sp23,Genus:sp24,Genus:sp25,Genus:sp26,Genus:sp27,Genus:sp28,Genus:sp29,Genus:sp3,Genus:sp30,Genus:sp31,Genus:sp4,Genus:sp5,Genus:sp6,Genus:sp7,Genus:sp8,Genus:sp9
3687500:1362500,3687500,1362500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687500:1387500,3687500,1387500,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3687500:1462500,3687500,1462500,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687500:1487500,3687500,1487500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687500:1562500,3687500,1562500,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3687500:1612500,3687500,1612500,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3687500:1887500,3687500,1887500,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,
3687500:1937500,3687500,1937500,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,
3687500:1962500,3687500,1962500,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
3687500:2012500,3687500,2012500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
3687500:2062500,3687500,2062500,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
3712500:1237500,3712500,1237500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712500:1362500,3712500,1362500,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
3712500:1487500,3712500,1487500,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3712500:1612500,3712500,1612500,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
3712500:1637500,3712500,1637500,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3712500:1937500,3712500,1937500,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
3712500:1987500,3712500,1987500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
3712500:2012500,3712500,2012500,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3712500:2037500,3712500,2037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3712500:2062500,3712500,2062500,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
3712500:2112500,3712500,2112500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737500:1437500,3737500,1437500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737500:1462500,3737500,1462500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3737500:1537500,3737500,1537500,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
3737500:1587500,3737500,1587500,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
3737500:1612500,3737500,1612500,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1
3737500:1637500,3737500,1637500,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
3737500:1662500,3737500,1662500,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3737500:1962500,3737500,1962500,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3737500:1987500,3737500,1987500,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
3737500:2012500,3737500,2012500,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3737500:2137500,3737500,2137500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3762500:1287500,3762500,1287500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3762500:1312500,3762500,1312500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3762500:1362500,3762500,1362500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3762500:1537500,3762500,1537500,,,1,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,
3762500:1587500,3762500,1587500,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3762500:1762500,3762500,1762500,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
3762500:1787500,3762500,1787500,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
3762500:1812500,3762500,1812500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3762500:1862500,3762500,1862500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3787500:1337500,3787500,1337500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787500:1362500,3787500,1362500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3787500:1637500,3787500,1637500,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787500:1762500,3787500,1762500,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3787500:1962500,3787500,1962500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3812500:1387500,3812500,1387500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3812500:1487500,3812500,1487500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
3812500:1537500,3812500,1537500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3812500:1662500,3812500,1662500,1,,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
3837500:1462500,3837500,1462500,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3837500:1487500,3837500,1487500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837500:1512500,3837500,1512500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3837500:1537500,3837500,1537500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
3837500:1562500,3837500,1562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3837500:1687500,3837500,1687500,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3837500:1762500,3837500,1762500,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3837500:1787500,3837500,1787500,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3862500:1537500,3862500,1537500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3
3862500:1562500,3862500,1562500,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
3862500:1612500,3862500,1612500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3862500:1662500,3862500,1662500,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3862500:1737500,3862500,1737500,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
3862500:1762500,3862500,1762500,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
3862500:1787500,3862500,1787500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3862500:1812500,3862500,1812500,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10
3862500:1837500,3862500,1837500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
3862500:1862500,3862500,1862500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3862500:1887500,3862500,1887500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3862500:1937500,3862500,1937500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3887500:1637500,3887500,1637500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3887500:1662500,3887500,1662500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3887500:1737500,3887500,1737500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3887500:1787500,3887500,1787500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3887500:1812500,3887500,1812500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3887500:1837500,3887500,1837500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3887500:1887500,3887500,1887500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3887500:1912500,3887500,1912500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
3887500:1987500,3887500,1987500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
3912500:1737500,3912500,1737500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
